,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
442,The Magnificent Seven,1960,128,7.7,74.0,100033,4.91
443,Moon,2009,97,7.8,67.0,370728,5.01
444,La haine,1995,98,8.1,,188298,0.31
445,50/50,2011,100,7.6,72.0,339378,35.01
446,Ben-Hur,1959,212,8.1,90.0,248568,74.7
447,Toy Story 2,1999,92,7.9,88.0,606066,245.85
448,Cinema Paradiso,1988,155,8.5,80.0,274839,11.99
449,Slumdog Millionaire,2008,120,8.0,84.0,866368,141.32
450,Midnight Cowboy,1969,113,7.8,79.0,117167,44.79
451,Isle of Dogs,2018,101,7.8,82.0,184507,32.02
